itemid,origin,label,LEVEL1,LEVEL2,Notes,Notes 2,icd_version
42,diagnoses_icd,ICD-9,Human immunodeficiency virus [HIV] disease,HIV,Did not include Type-2,,9.0
51,chartevents,arterial bp [systolic],systolic blood pressure (arterial),systolic blood pressure,Not present,,
211,chartevents,heart rate,heart rate,heart rate,,,
442,chartevents,manual bp [systolic],systolic blood pressure (noninvasive),systolic blood pressure,Not present,,
455,chartevents,nbp [systolic],systolic blood pressure (noninvasive),systolic blood pressure,Not present,,
614,chartevents,resp rate (spont),respiratory rate (spontaneous),respiratory rate,,,
615,chartevents,resp rate (total),respiratory rate (total),respiratory rate,,,
618,chartevents,respiratory rate,respiratory rate,respiratory rate,,,
619,chartevents,respiratory rate set,respiratory rate set,respiratory rate set,,,
646,chartevents,spo2,pulse oximetry,oxygen saturation,Not present,,
651,chartevents,spon rr (mech.),respiratory rate (spontaneous),respiratory rate,,,
676,chartevents,temperature c,temperature (c),temperature,,,
677,chartevents,temperature c (calc),temperature (c),temperature,,,
678,chartevents,temperature f,temperature (f),temperature,,,
679,chartevents,temperature f (calc),temperature (f),temperature,,,
791,chartevents,creatinine (0-1.3),creatinine,creatinine,,,
813,chartevents,hematocrit,hematocrit,hematocrit,,,
814,chartevents,hemoglobin,hemoglobin,hemoglobin,,,
828,chartevents,platelets,platelets,platelets,,,
833,chartevents,rbc,red blood cell count,red blood cell count,,,
834,chartevents,sao2,oxygen saturation,oxygen saturation,Not present,,
861,chartevents,"wbc (4-11,000)",white blood cell count,white blood cell count,,,
1127,chartevents,"wbc (4-11,000)",white blood cell count,white blood cell count,,,
1525,chartevents,creatinine,creatinine,creatinine,,,
1542,chartevents,wbc,white blood cell count,white blood cell count,,,
5719,diagnoses_icd,ICD-9,Unspecified chronic liver disease without mention of alcohol,Chronic Liver Disease,,,9.0
6701,chartevents,arterial bp #2 [systolic],systolic blood pressure (arterial),systolic blood pressure,Not present,,
8368,chartevents,arterial bp [diastolic],diastolic blood pressure (arterial),diastolic blood pressure,Not present,,
8440,chartevents,manual bp [diastolic],diastolic blood pressure (noninvasive),diastolic blood pressure,Not present,,
8441,chartevents,nbp [diastolic],diastolic blood pressure (noninvasive),diastolic blood pressure,Not present,,
8555,chartevents,arterial bp #2 [diastolic],diastolic blood pressure (arterial),diastolic blood pressure,Not present,,
27800,diagnoses_icd,ICD-9,"Obesity, unspecified",Obesity,Selected lowest number in category,,9.0
41400,diagnoses_icd,ICD-9,"Coronary atherosclerosis of unspecified type of vessel, native or graft",Coronary Artery Disease,Selected lowest number in category,,9.0
50802,labevents,Base Excess ,,Base excess,"Took ""blood"" version, also a ""fluid"" version. ",,
51144,labevents,Bands,,Band neutrophils,"Took ""Bands"" from fluid = blood (excluded joint fluid). Did not take hypersegmented neutrophils or neutrophils. ",,
51232,labevents,Hypersegmented Neutrophils,,Segmented neutrophil count,"Assumed hypersegmented = segmented. Also exists other ""Hypersegmented Neutrophils #"" with ""count"" sign, but none of those were from blood. ",,
51244,labevents,Lymphocytes,,Lymphocyte,"Took ""blood - hematology"" version, also exists a ""blood-chemistry"" version (51690), fluids versions, lymphocytes percent, absolute lymphocyte count, and atypical lymphocytes. ",,
51249,labevents,MCHC,,Mean corpuscular hemoglobin concentration,,,
51254,labevents,Monocytes,,Monocytes,"Took ""blood"" version, also exists Absolute Monocyte Count (52074) and Monocyte Count (51253)",,
51256,labevents,Neutrophils,,Neutrophils,"Took hematology version instead of chemistry version, also excluded the hypersegmented neutrophils. ",,
51257,labevents,Nucleated Red Cells,,Nucleated red blood cell count,"Took ""blood"" version, also exists ascites version",,
51282,labevents,"Reticulocyte Count, Absolute",,reticulocyte count,"Also a reticulocyte countn ""automated"" (51283) and ""manual"" (51284) versions",,
52171,labevents,RBC Morphology,,Red Blood Cell morphology,,,
52204,labevents,RBCDist,,Red Blood Cell distribution width ,Not sure if this is distribution width,,
220045,chartevents,heart rate,heart rate,heart rate,,,
220050,chartevents,arterial blood pressure systolic,systolic blood pressure (arterial),systolic blood pressure,,,
220051,chartevents,arterial blood pressure diastolic,diastolic blood pressure (arterial),diastolic blood pressure,,,
220179,chartevents,non invasive blood pressure systolic,systolic blood pressure (noninvasive),systolic blood pressure,,,
220180,chartevents,non invasive blood pressure diastolic,diastolic blood pressure (noninvasive),diastolic blood pressure,,,
220210,chartevents,respiratory rate,respiratory rate,respiratory rate,,,
220227,chartevents,arterial o2 saturation,oxygen saturation (arterial),oxygen saturation,,,
220228,chartevents,hemoglobin,hemoglobin,hemoglobin,,,
220277,chartevents,o2 saturation pulseoxymetry,pulse oximetry,oxygen saturation,,,
220545,chartevents,hematocrit (serum),hematocrit (serum),hematocrit,,,
220546,chartevents,wbc,white blood cell count,white blood cell count,,,
220615,chartevents,creatinine,creatinine,creatinine,,,
223761,chartevents,temperature fahrenheit,temperature (f),temperature,,,
223761,chartevents,temperature fahrenheit,temperature (f),temperature,,,
223762,chartevents,temperature celsius,temperature (c),temperature,,,
224007,chartevents,gi #1 intub site,,Feeding tube,Chose intubation site as surrogate for whether a feeding tube was placed,,
224167,chartevents,manual blood pressure systolic left,systolic blood pressure (noninvasive),systolic blood pressure,,,
224264,procedureevents,PICC Line,,Peripherally inserted central catheters,"PICCs only include 'PICC Line' (see note for CVCs for exclusions). Chartevents also contain various events used to note details about a CVC/PICC, these are all excluded.",,
224422,chartevents,spont rr,respiratory rate (spontaneous),respiratory rate,,,
224441,chartevents,gi #2 intub site,,Feeding tube,,,
224442,chartevents,gi #3 intub site,,Feeding tube,,,
224643,chartevents,manual blood pressure diastolic left,diastolic blood pressure (noninvasive),diastolic blood pressure,,,
224688,chartevents,respiratory rate (set),respiratory rate set,respiratory rate set,,,
224689,chartevents,respiratory rate (spontaneous),respiratory rate (spontaneous),respiratory rate,,,
224690,chartevents,respiratory rate (total),respiratory rate (total),respiratory rate,,,
225309,chartevents,art bp systolic,systolic blood pressure (arterial),systolic blood pressure,,,
225310,chartevents,art bp diastolic,diastolic blood pressure (arterial),diastolic blood pressure,,,
225315,procedureevents,Tunneled (Hickman) Line,,Central venous catheters,"CVCs only include 'Tunneled (Hickman) Line' (excluded are ports, dialysis catheters, midline, multi lumen, pa catheter and many more. Excluded itemids: 224263        224267        224268        224269        224270        224272        224273        224560        225199        225202        225203        225204        225205        225761        225789        226124        227719        228169        228201        228202        228286 )",,
225447,procedureevents,percutaneous drain insertion,,Drains,Only insertion of drains included (removal with itemids 227711 and 227714 excluded),,
225456,procedureevents,ventricular drain,,Drains,,,
226475,procedureevents,intraventricular drain inserted,,Drains,,,
227243,chartevents,manual blood pressure systolic right,systolic blood pressure (noninvasive),systolic blood pressure,,,
227457,chartevents,platelet count,platelets,platelets,,,
227472,chartevents,incision site #1,,Incision,"Chose locations of incisions as surrogate for whether there was an incision (instead of 'cleanse', 'treatment', 'dressing status', 'appearance')",,
227473,chartevents,incision site #2,,Incision,,,
227474,chartevents,incision site #3,,Incision,,,
227475,chartevents,incision site #4,,Incision,,,
227476,chartevents,incision site #5,,Incision,,,
227477,chartevents,incision site #6,,Incision,,,
228506,chartevents,pressure ulcer #1- location,,Pressure Ulcers,Chose locations of pressure ulcers as surrogate for presence of pressure ulcer,,
228507,chartevents,pressure ulcer #2- location,,Pressure Ulcers,,,
228508,chartevents,pressure ulcer #3- location,,Pressure Ulcers,,,
228509,chartevents,pressure ulcer #4- location,,Pressure Ulcers,,,
228510,chartevents,pressure ulcer #5- location,,Pressure Ulcers,,,
228511,chartevents,pressure ulcer #6- location,,Pressure Ulcers,,,
228512,chartevents,pressure ulcer #7- location,,Pressure Ulcers,,,
228513,chartevents,pressure ulcer #8- location,,Pressure Ulcers,,,
228514,chartevents,pressure ulcer #9- location,,Pressure Ulcers,,,
228515,chartevents,pressure ulcer #10- location,,Pressure Ulcers,,,
228559,chartevents,incision #1- location,,Incision,,,
