itemid,origin,label,LEVEL1,LEVEL2,Notes,Notes 2,icd_version
791,chartevents,creatinine (0-1.3),creatinine,creatinine,,,
1525,chartevents,creatinine,creatinine,creatinine,,,
220615,chartevents,creatinine,creatinine,creatinine,,,
211,chartevents,heart rate,heart rate,heart rate,,,
220045,chartevents,heart rate,heart rate,heart rate,,,
813,chartevents,hematocrit,hematocrit,hematocrit,,,
220545,chartevents,hematocrit (serum),hematocrit (serum),hematocrit,,,
814,chartevents,hemoglobin,hemoglobin,hemoglobin,,,
220228,chartevents,hemoglobin,hemoglobin,hemoglobin,,,
828,chartevents,platelets,platelets,platelets,,,
227457,chartevents,platelet count,platelets,platelets,,,
833,chartevents,rbc,red blood cell count,red blood cell count,,,
614,chartevents,resp rate (spont),respiratory rate (spontaneous),respiratory rate,,,
615,chartevents,resp rate (total),respiratory rate (total),respiratory rate,,,
618,chartevents,respiratory rate,respiratory rate,respiratory rate,,,
651,chartevents,spon rr (mech.),respiratory rate (spontaneous),respiratory rate,,,
220210,chartevents,respiratory rate,respiratory rate,respiratory rate,,,
224422,chartevents,spont rr,respiratory rate (spontaneous),respiratory rate,,,
224689,chartevents,respiratory rate (spontaneous),respiratory rate (spontaneous),respiratory rate,,,
224690,chartevents,respiratory rate (total),respiratory rate (total),respiratory rate,,,
619,chartevents,respiratory rate set,respiratory rate set,respiratory rate set,,,
224688,chartevents,respiratory rate (set),respiratory rate set,respiratory rate set,,,
676,chartevents,temperature c,temperature (c),temperature,,,
677,chartevents,temperature c (calc),temperature (c),temperature,,,
678,chartevents,temperature f,temperature (f),temperature,,,
679,chartevents,temperature f (calc),temperature (f),temperature,,,
223761,chartevents,temperature fahrenheit,temperature (f),temperature,,,
223762,chartevents,temperature celsius,temperature (c),temperature,,,
861,chartevents,"wbc (4-11,000)",white blood cell count,white blood cell count,,,
1127,chartevents,"wbc (4-11,000)",white blood cell count,white blood cell count,,,
1542,chartevents,wbc,white blood cell count,white blood cell count,,,
220546,chartevents,wbc,white blood cell count,white blood cell count,,,
51144,labevents,Bands,,Band neutrophils,"Took ""Bands"" from fluid = blood (excluded joint fluid). Did not take hypersegmented neutrophils or neutrophils. ",,
50802,labevents,Base Excess ,,Base excess,"Took ""blood"" version, also a ""fluid"" version. ",,
51244,labevents,Lymphocytes,,Lymphocyte,"Took ""blood - hematology"" version, also exists a ""blood-chemistry"" version (51690), fluids versions, lymphocytes percent, absolute lymphocyte count, and atypical lymphocytes. ",,
51249,labevents,MCHC,,Mean corpuscular hemoglobin concentration,,,
51254,labevents,Monocytes,,Monocytes,"Took ""blood"" version, also exists Absolute Monocyte Count (52074) and Monocyte Count (51253)",,
51256,labevents,Neutrophils,,Neutrophils,"Took hematology version instead of chemistry version, also excluded the hypersegmented neutrophils. ",,
51257,labevents,Nucleated Red Cells,,Nucleated red blood cell count,"Took ""blood"" version, also exists ascites version",,
,,,,procalcitonin,COULD NOT FIND -- but seems important! ,,
52171,labevents,RBC Morphology,,Red Blood Cell morphology,,,
52204,labevents,RBCDist,,Red Blood Cell distribution width ,Not sure if this is distribution width,,
51282,labevents,"Reticulocyte Count, Absolute",,reticulocyte count,"Also a reticulocyte countn ""automated"" (51283) and ""manual"" (51284) versions",,
51232,labevents,Hypersegmented Neutrophils,,Segmented neutrophil count,"Assumed hypersegmented = segmented. Also exists other ""Hypersegmented Neutrophils #"" with ""count"" sign, but none of those were from blood. ",,
age,static,,,age,,,
ethnicity,static,,,ethnicity,,,
marital_status,static,,,marital status,,,
gender,static,,,sex,,,
42,diagnoses_icd,ICD-9,Human immunodeficiency virus [HIV] disease,HIV,Did not include Type-2,,9.0
B20,diagnoses_icd,ICD-10,HIV,HIV,Did not include Type-2,,10.0
27800,diagnoses_icd,ICD-9,"Obesity, unspecified",Obesity,Selected lowest number in category,,9.0
E66,diagnoses_icd,ICD-10,Overweight and obesity,Obesity,Selected root category,,10.0
41400,diagnoses_icd,ICD-9,"Coronary atherosclerosis of unspecified type of vessel, native or graft",Coronary Artery Disease,Selected lowest number in category,,9.0
I251,diagnoses_icd,ICD-10,Atherosclerotic heart disease of native coronary artery,Coronary Artery Disease,Selected root category -- see Level 1 label for correctness,,10.0
I502,diagnoses_icd,ICD-10,Systolic (congestive) heart failure,Congestive Heart Failure,"ICD-10's divided into 3 sections, included all 3 here. Selected based on ""congestive""",,10.0
I503,diagnoses_icd,ICD-10,Diastolic (congestive) heart failure,Congestive Heart Failure,,,10.0
I504,diagnoses_icd,ICD-10,Combined systolic (congestive) and diastolic (congestive) heart failure,Congestive Heart Failure,,,10.0
J44,diagnoses_icd,ICD-10,Other chronic obstructive pulmonary disease,Chronic Obstructive Pulmonary Disease (COPD),,,10.0
